xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	group
6.5	7.5	1	number of neighbors	7	number of neighbors	7	1
7.5	8.5	8 7	number of neighbors	8	number of neighbors	7	81
8.5	9.5	9 7	number of neighbors	9	number of neighbors	7	90
9.5	10.5	10 7	number of neighbors	10	number of neighbors	7	17
0.5	1.5	1 8	number of neighbors	1	number of neighbors	8	9
1.5	2.5	2 8	number of neighbors	2	number of neighbors	8	27
2.5	3.5	3 8	number of neighbors	3	number of neighbors	8	36
3.5	4.5	4 8	number of neighbors	4	number of neighbors	8	45
4.5	5.5	5 8	number of neighbors	5	number of neighbors	8	54
5.5	6.5	6 8	number of neighbors	6	number of neighbors	8	63
6.5	7.5	7 8	number of neighbors	7	number of neighbors	8	72
7.5	8.5	1	number of neighbors	8	number of neighbors	8	1
8.5	9.5	9 8	number of neighbors	9	number of neighbors	8	91
9.5	10.5	10 8	number of neighbors	10	number of neighbors	8	18
0.5	1.5	1 9	number of neighbors	1	number of neighbors	9	10
1.5	2.5	2 9	number of neighbors	2	number of neighbors	9	28
2.5	3.5	3 9	number of neighbors	3	number of neighbors	9	37
3.5	4.5	4 9	number of neighbors	4	number of neighbors	9	46
4.5	5.5	5 9	number of neighbors	5	number of neighbors	9	55
5.5	6.5	6 9	number of neighbors	6	number of neighbors	9	64
6.5	7.5	7 9	number of neighbors	7	number of neighbors	9	73
7.5	8.5	8 9	number of neighbors	8	number of neighbors	9	82
8.5	9.5	1	number of neighbors	9	number of neighbors	9	1
9.5	10.5	10 9	number of neighbors	10	number of neighbors	9	19
0.5	1.5	1 10	number of neighbors	1	number of neighbors	10	2
1.5	2.5	2 10	number of neighbors	2	number of neighbors	10	21
2.5	3.5	3 10	number of neighbors	3	number of neighbors	10	30
3.5	4.5	4 10	number of neighbors	4	number of neighbors	10	39
4.5	5.5	5 10	number of neighbors	5	number of neighbors	10	48
5.5	6.5	6 10	number of neighbors	6	number of neighbors	10	57
6.5	7.5	7 10	number of neighbors	7	number of neighbors	10	66
7.5	8.5	8 10	number of neighbors	8	number of neighbors	10	75
8.5	9.5	9 10	number of neighbors	9	number of neighbors	10	84
9.5	10.5	1	number of neighbors	10	number of neighbors	10	1
