xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	group
0.5	1.5	1	number of neighbors	1	number of neighbors	1	1
1.5	2.5	2 1	number of neighbors	2	number of neighbors	1	20
2.5	3.5	3 1	number of neighbors	3	number of neighbors	1	29
3.5	4.5	4 1	number of neighbors	4	number of neighbors	1	38
4.5	5.5	5 1	number of neighbors	5	number of neighbors	1	47
5.5	6.5	6 1	number of neighbors	6	number of neighbors	1	56
6.5	7.5	7 1	number of neighbors	7	number of neighbors	1	65
7.5	8.5	8 1	number of neighbors	8	number of neighbors	1	74
8.5	9.5	9 1	number of neighbors	9	number of neighbors	1	83
9.5	10.5	10 1	number of neighbors	10	number of neighbors	1	11
0.5	1.5	1 2	number of neighbors	1	number of neighbors	2	3
1.5	2.5	1	number of neighbors	2	number of neighbors	2	1
2.5	3.5	3 2	number of neighbors	3	number of neighbors	2	31
3.5	4.5	4 2	number of neighbors	4	number of neighbors	2	40
4.5	5.5	5 2	number of neighbors	5	number of neighbors	2	49
5.5	6.5	6 2	number of neighbors	6	number of neighbors	2	58
6.5	7.5	7 2	number of neighbors	7	number of neighbors	2	67
7.5	8.5	8 2	number of neighbors	8	number of neighbors	2	76
8.5	9.5	9 2	number of neighbors	9	number of neighbors	2	85
9.5	10.5	10 2	number of neighbors	10	number of neighbors	2	12
0.5	1.5	1 3	number of neighbors	1	number of neighbors	3	4
1.5	2.5	2 3	number of neighbors	2	number of neighbors	3	22
2.5	3.5	1	number of neighbors	3	number of neighbors	3	1
3.5	4.5	4 3	number of neighbors	4	number of neighbors	3	41
4.5	5.5	5 3	number of neighbors	5	number of neighbors	3	50
5.5	6.5	6 3	number of neighbors	6	number of neighbors	3	59
6.5	7.5	7 3	number of neighbors	7	number of neighbors	3	68
7.5	8.5	8 3	number of neighbors	8	number of neighbors	3	77
8.5	9.5	9 3	number of neighbors	9	number of neighbors	3	86
9.5	10.5	10 3	number of neighbors	10	number of neighbors	3	13
0.5	1.5	1 4	number of neighbors	1	number of neighbors	4	5
1.5	2.5	2 4	number of neighbors	2	number of neighbors	4	23
2.5	3.5	3 4	number of neighbors	3	number of neighbors	4	32
3.5	4.5	1	number of neighbors	4	number of neighbors	4	1
4.5	5.5	5 4	number of neighbors	5	number of neighbors	4	51
5.5	6.5	6 4	number of neighbors	6	number of neighbors	4	60
6.5	7.5	7 4	number of neighbors	7	number of neighbors	4	69
7.5	8.5	8 4	number of neighbors	8	number of neighbors	4	78
8.5	9.5	9 4	number of neighbors	9	number of neighbors	4	87
9.5	10.5	10 4	number of neighbors	10	number of neighbors	4	14
0.5	1.5	1 5	number of neighbors	1	number of neighbors	5	6
1.5	2.5	2 5	number of neighbors	2	number of neighbors	5	24
2.5	3.5	3 5	number of neighbors	3	number of neighbors	5	33
3.5	4.5	4 5	number of neighbors	4	number of neighbors	5	42
4.5	5.5	1	number of neighbors	5	number of neighbors	5	1
5.5	6.5	6 5	number of neighbors	6	number of neighbors	5	61
6.5	7.5	7 5	number of neighbors	7	number of neighbors	5	70
7.5	8.5	8 5	number of neighbors	8	number of neighbors	5	79
8.5	9.5	9 5	number of neighbors	9	number of neighbors	5	88
9.5	10.5	10 5	number of neighbors	10	number of neighbors	5	15
0.5	1.5	1 6	number of neighbors	1	number of neighbors	6	7
1.5	2.5	2 6	number of neighbors	2	number of neighbors	6	25
2.5	3.5	3 6	number of neighbors	3	number of neighbors	6	34
3.5	4.5	4 6	number of neighbors	4	number of neighbors	6	43
4.5	5.5	5 6	number of neighbors	5	number of neighbors	6	52
5.5	6.5	1	number of neighbors	6	number of neighbors	6	1
6.5	7.5	7 6	number of neighbors	7	number of neighbors	6	71
7.5	8.5	8 6	number of neighbors	8	number of neighbors	6	80
8.5	9.5	9 6	number of neighbors	9	number of neighbors	6	89
9.5	10.5	10 6	number of neighbors	10	number of neighbors	6	16
0.5	1.5	1 7	number of neighbors	1	number of neighbors	7	8
1.5	2.5	2 7	number of neighbors	2	number of neighbors	7	26
2.5	3.5	3 7	number of neighbors	3	number of neighbors	7	35
3.5	4.5	4 7	number of neighbors	4	number of neighbors	7	44
4.5	5.5	5 7	number of neighbors	5	number of neighbors	7	53
5.5	6.5	6 7	number of neighbors	6	number of neighbors	7	62
