colour	y	x	group	clickSelects	showSelected1	showSelected2
#FF0000	-1.2083973951143	0	1	constant	Linear (polynomial basis)	test
#FF0000	-1.17858157660371	1	1	constant	Linear (polynomial basis)	test
#FF0000	-1.17847353532443	2	1	constant	Linear (polynomial basis)	test
#FF0000	-1.15771983223681	3	1	constant	Linear (polynomial basis)	test
#FF0000	-1.15054853980895	4	1	constant	Linear (polynomial basis)	test
#FF0000	-0.623575232599126	5	1	constant	Linear (polynomial basis)	test
#FF0000	-0.628890592769394	6	1	constant	Linear (polynomial basis)	test
#FF0000	0.0846554247226064	7	1	constant	Linear (polynomial basis)	test
#FF0000	0.0860712842780229	8	1	constant	Linear (polynomial basis)	test
#FF0000	0.613120601700546	9	1	constant	Linear (polynomial basis)	test
#000000	-1.23698835133576	0	2	constant	Linear (polynomial basis)	train
#000000	-1.27996037693708	1	2	constant	Linear (polynomial basis)	train
#000000	-1.28321315690112	2	2	constant	Linear (polynomial basis)	train
#000000	-1.29415325837915	3	2	constant	Linear (polynomial basis)	train
#000000	-1.32624930050832	4	2	constant	Linear (polynomial basis)	train
#000000	-1.60453274157784	5	2	constant	Linear (polynomial basis)	train
#000000	-1.60593063870633	6	2	constant	Linear (polynomial basis)	train
#000000	-3.03643756431544	7	2	constant	Linear (polynomial basis)	train
#000000	-3.03645001530969	8	2	constant	Linear (polynomial basis)	train
#000000	-4.91437563507421	9	2	constant	Linear (polynomial basis)	train
#FF0000	-1.52619868986491	0	3	cubic	Linear (polynomial basis)	test
#FF0000	-1.95341011181449	1	3	cubic	Linear (polynomial basis)	test
#FF0000	-1.97111145451585	2	3	cubic	Linear (polynomial basis)	test
#FF0000	-2.67294671261316	3	3	cubic	Linear (polynomial basis)	test
#FF0000	-2.53987218765478	4	3	cubic	Linear (polynomial basis)	test
#FF0000	-2.03878884684614	5	3	cubic	Linear (polynomial basis)	test
#FF0000	-1.95337521356551	6	3	cubic	Linear (polynomial basis)	test
#FF0000	-1.71422664482465	7	3	cubic	Linear (polynomial basis)	test
#FF0000	-0.935168859253504	8	3	cubic	Linear (polynomial basis)	test
#FF0000	0.927525321587178	9	3	cubic	Linear (polynomial basis)	test
#000000	-1.20484808815339	0	4	cubic	Linear (polynomial basis)	train
#000000	-2.07512426805889	1	4	cubic	Linear (polynomial basis)	train
#000000	-2.077039044049	2	4	cubic	Linear (polynomial basis)	train
#000000	-2.62661803161459	3	4	cubic	Linear (polynomial basis)	train
#000000	-2.75861723454921	4	4	cubic	Linear (polynomial basis)	train
#000000	-2.96598584533322	5	4	cubic	Linear (polynomial basis)	train
#000000	-3.0039845433655	6	4	cubic	Linear (polynomial basis)	train
#000000	-3.04430147966437	7	4	cubic	Linear (polynomial basis)	train
#000000	-3.10426681800887	8	4	cubic	Linear (polynomial basis)	train
#000000	-4.91437563507421	9	4	cubic	Linear (polynomial basis)	train
#FF0000	-1.14905510205653	0	5	linear	Linear (polynomial basis)	test
#FF0000	-2.80304884495615	1	5	linear	Linear (polynomial basis)	test
#FF0000	-2.75168637036808	2	5	linear	Linear (polynomial basis)	test
#FF0000	-2.75426710758111	3	5	linear	Linear (polynomial basis)	test
#FF0000	-2.74966040284666	4	5	linear	Linear (polynomial basis)	test
#FF0000	-2.75440410169546	5	5	linear	Linear (polynomial basis)	test
#FF0000	-2.29389010145363	6	5	linear	Linear (polynomial basis)	test
#FF0000	-2.44725542308753	7	5	linear	Linear (polynomial basis)	test
#FF0000	-0.633012976330761	8	5	linear	Linear (polynomial basis)	test
#FF0000	-0.7637321998256	9	5	linear	Linear (polynomial basis)	test
#000000	-1.00643794001942	0	6	linear	Linear (polynomial basis)	train
#000000	-2.88171390858969	1	6	linear	Linear (polynomial basis)	train
#000000	-2.98157296608812	2	6	linear	Linear (polynomial basis)	train
#000000	-2.98174301092558	3	6	linear	Linear (polynomial basis)	train
#000000	-2.9836106645224	4	6	linear	Linear (polynomial basis)	train
#000000	-2.9872423088078	5	6	linear	Linear (polynomial basis)	train
#000000	-3.26030778139314	6	6	linear	Linear (polynomial basis)	train
#000000	-3.3053324471029	7	6	linear	Linear (polynomial basis)	train
#000000	-4.63618987523319	8	6	linear	Linear (polynomial basis)	train
#000000	-4.91437563507421	9	6	linear	Linear (polynomial basis)	train
#FF0000	-1.11724011393227	0	7	quadratic	Linear (polynomial basis)	test
#FF0000	-1.08799392674639	1	7	quadratic	Linear (polynomial basis)	test
#FF0000	-2.21020150563011	2	7	quadratic	Linear (polynomial basis)	test
#FF0000	-1.93287492744001	3	7	quadratic	Linear (polynomial basis)	test
#FF0000	-1.84051222738798	4	7	quadratic	Linear (polynomial basis)	test
#FF0000	-1.47234573653999	5	7	quadratic	Linear (polynomial basis)	test
#FF0000	-1.48911611921422	6	7	quadratic	Linear (polynomial basis)	test
#FF0000	-1.60335950995631	7	7	quadratic	Linear (polynomial basis)	test
#FF0000	-1.49803052765662	8	7	quadratic	Linear (polynomial basis)	test
#FF0000	-0.174820644780171	9	7	quadratic	Linear (polynomial basis)	test
#000000	-1.13408174706317	0	8	quadratic	Linear (polynomial basis)	train
#000000	-1.21782039406538	1	8	quadratic	Linear (polynomial basis)	train
#000000	-2.21975104669219	2	8	quadratic	Linear (polynomial basis)	train
#000000	-2.49453376419055	3	8	quadratic	Linear (polynomial basis)	train
#000000	-2.63279391540655	4	8	quadratic	Linear (polynomial basis)	train
#000000	-3.70197361838834	5	8	quadratic	Linear (polynomial basis)	train
#000000	-3.73605971576016	6	8	quadratic	Linear (polynomial basis)	train
#000000	-4.03633206722969	7	8	quadratic	Linear (polynomial basis)	train
#000000	-4.04326858286612	8	8	quadratic	Linear (polynomial basis)	train
#000000	-4.91437563507421	9	8	quadratic	Linear (polynomial basis)	train
